Building vocabulary...

--- Top 10 most frequent words (subsampling) ---
  'the   ' | count: 1061396 | discard prob: 98.7%
  'of    ' | count: 593677  | discard prob: 98.3%
  'and   ' | count: 416629  | discard prob: 98.0%
  'one   ' | count: 411764  | discard prob: 97.9%
  'in    ' | count: 372201  | discard prob: 97.8%
  'a     ' | count: 325873  | discard prob: 97.7%
  'to    ' | count: 316376  | discard prob: 97.6%
  'zero  ' | count: 264975  | discard prob: 97.4%
  'nine  ' | count: 250430  | discard prob: 97.3%
  'two   ' | count: 192644  | discard prob: 97.0%
--------------------------------------------------

--------------------------------------------------
Training config:
  Vocab size:     71290 tokens
  Embedding dim:  100
  Epochs:         5
  Batch size:     256
  Window size:    5
  Neg samples:    5
  Optimizer:      sgd
  Learning rate:  0.025
--------------------------------------------------
Epoch 1 | Batch  72000 | Loss: 2.5780 | LR: 0.024449 | Tokens/s: 31680
Epoch 1 | Batch  73000 | Loss: 2.5751 | LR: 0.024441 | Tokens/s: 31699
Epoch 1 | Batch  74000 | Loss: 2.5719 | LR: 0.024433 | Tokens/s: 31719
Epoch 1 | Batch  75000 | Loss: 2.5685 | LR: 0.024426 | Tokens/s: 31741
Epoch 1 | Batch  76000 | Loss: 2.5659 | LR: 0.024418 | Tokens/s: 31758
Epoch 1 | Batch  77000 | Loss: 2.5637 | LR: 0.024410 | Tokens/s: 31771
Epoch 1 | Batch  78000 | Loss: 2.5610 | LR: 0.024403 | Tokens/s: 31790
Epoch 1 | Batch  79000 | Loss: 2.5585 | LR: 0.024395 | Tokens/s: 31808
Epoch 1 | Batch  80000 | Loss: 2.5561 | LR: 0.024388 | Tokens/s: 31823
Epoch 1 | Batch  81000 | Loss: 2.5541 | LR: 0.024380 | Tokens/s: 31837
Epoch 1 | Batch  82000 | Loss: 2.5514 | LR: 0.024372 | Tokens/s: 31847
Epoch 1 | Batch  83000 | Loss: 2.5493 | LR: 0.024365 | Tokens/s: 31862
Epoch 1 | Batch  84000 | Loss: 2.5469 | LR: 0.024357 | Tokens/s: 31878
Epoch 1 | Batch  85000 | Loss: 2.5450 | LR: 0.024349 | Tokens/s: 31896
Epoch 1 | Batch  86000 | Loss: 2.5425 | LR: 0.024342 | Tokens/s: 31911
Epoch 1 | Batch  87000 | Loss: 2.5406 | LR: 0.024334 | Tokens/s: 31925
Epoch 1 | Batch  88000 | Loss: 2.5386 | LR: 0.024326 | Tokens/s: 31944
Epoch 1 | Batch  89000 | Loss: 2.5366 | LR: 0.024319 | Tokens/s: 31960
Epoch 1 | Batch  90000 | Loss: 2.5341 | LR: 0.024311 | Tokens/s: 31977
Epoch 1 | Batch  91000 | Loss: 2.5320 | LR: 0.024303 | Tokens/s: 31983
Epoch 1 | Batch  92000 | Loss: 2.5293 | LR: 0.024296 | Tokens/s: 31991
Epoch 1 | Batch  93000 | Loss: 2.5268 | LR: 0.024288 | Tokens/s: 32003
Epoch 1 | Batch  94000 | Loss: 2.5245 | LR: 0.024280 | Tokens/s: 32007
Epoch 1 | Batch  95000 | Loss: 2.5223 | LR: 0.024273 | Tokens/s: 32013
Epoch 1 | Batch  96000 | Loss: 2.5198 | LR: 0.024265 | Tokens/s: 32018
Epoch 1 | Batch  97000 | Loss: 2.5181 | LR: 0.024257 | Tokens/s: 32029
Epoch 1 | Batch  98000 | Loss: 2.5165 | LR: 0.024250 | Tokens/s: 32035
Epoch 1 | Batch  99000 | Loss: 2.5139 | LR: 0.024242 | Tokens/s: 32042
Epoch 1 | Batch 100000 | Loss: 2.5114 | LR: 0.024234 | Tokens/s: 32054
Epoch 1 | Batch 101000 | Loss: 2.5092 | LR: 0.024227 | Tokens/s: 32061
Epoch 1 | Batch 102000 | Loss: 2.5074 | LR: 0.024219 | Tokens/s: 32067
Epoch 1 | Batch 103000 | Loss: 2.5058 | LR: 0.024211 | Tokens/s: 32061
Epoch 1 | Batch 104000 | Loss: 2.5043 | LR: 0.024204 | Tokens/s: 32067
Epoch 1 | Batch 105000 | Loss: 2.5021 | LR: 0.024196 | Tokens/s: 32072
Epoch 1 | Batch 106000 | Loss: 2.5007 | LR: 0.024188 | Tokens/s: 32084
Epoch 1 | Batch 107000 | Loss: 2.4993 | LR: 0.024181 | Tokens/s: 32089
