Building vocabulary...

--- Top 10 most frequent words (subsampling) ---
  'the   ' | count: 1061396 | discard prob: 98.7%
  'of    ' | count: 593677  | discard prob: 98.3%
  'and   ' | count: 416629  | discard prob: 98.0%
  'one   ' | count: 411764  | discard prob: 97.9%
  'in    ' | count: 372201  | discard prob: 97.8%
  'a     ' | count: 325873  | discard prob: 97.7%
  'to    ' | count: 316376  | discard prob: 97.6%
  'zero  ' | count: 264975  | discard prob: 97.4%
  'nine  ' | count: 250430  | discard prob: 97.3%
  'two   ' | count: 192644  | discard prob: 97.0%
--------------------------------------------------

--------------------------------------------------
Training config:
  Vocab size:     71290 tokens
  Embedding dim:  100
  Epochs:         5
  Batch size:     256
  Window size:    5
  Neg samples:    5
  Optimizer:      sgld
  Learning rate:  0.025
--------------------------------------------------
Epoch 1 | Batch  62000 | Loss: 2.6098 | LR: 0.024525 | Tokens/s: 31346 | Snapshots: 0
Epoch 1 | Batch  63000 | Loss: 2.6065 | LR: 0.024518 | Tokens/s: 31374 | Snapshots: 0
Epoch 1 | Batch  64000 | Loss: 2.6031 | LR: 0.024510 | Tokens/s: 31397 | Snapshots: 0
Epoch 1 | Batch  65000 | Loss: 2.5993 | LR: 0.024502 | Tokens/s: 31417 | Snapshots: 0
Epoch 1 | Batch  66000 | Loss: 2.5960 | LR: 0.024495 | Tokens/s: 31431 | Snapshots: 0
Epoch 1 | Batch  67000 | Loss: 2.5926 | LR: 0.024487 | Tokens/s: 31456 | Snapshots: 0
Epoch 1 | Batch  68000 | Loss: 2.5895 | LR: 0.024479 | Tokens/s: 31488 | Snapshots: 0
Epoch 1 | Batch  69000 | Loss: 2.5867 | LR: 0.024472 | Tokens/s: 31516 | Snapshots: 0
Epoch 1 | Batch  70000 | Loss: 2.5824 | LR: 0.024464 | Tokens/s: 31522 | Snapshots: 0
Epoch 1 | Batch  71000 | Loss: 2.5795 | LR: 0.024456 | Tokens/s: 31541 | Snapshots: 0
Epoch 1 | Batch  72000 | Loss: 2.5769 | LR: 0.024449 | Tokens/s: 31553 | Snapshots: 0
Epoch 1 | Batch  73000 | Loss: 2.5740 | LR: 0.024441 | Tokens/s: 31569 | Snapshots: 0
Epoch 1 | Batch  74000 | Loss: 2.5707 | LR: 0.024433 | Tokens/s: 31588 | Snapshots: 0
Epoch 1 | Batch  75000 | Loss: 2.5674 | LR: 0.024426 | Tokens/s: 31607 | Snapshots: 0
Epoch 1 | Batch  76000 | Loss: 2.5646 | LR: 0.024418 | Tokens/s: 31620 | Snapshots: 0
Epoch 1 | Batch  77000 | Loss: 2.5624 | LR: 0.024410 | Tokens/s: 31632 | Snapshots: 0
Epoch 1 | Batch  78000 | Loss: 2.5597 | LR: 0.024403 | Tokens/s: 31649 | Snapshots: 0
Epoch 1 | Batch  79000 | Loss: 2.5571 | LR: 0.024395 | Tokens/s: 31663 | Snapshots: 0
Epoch 1 | Batch  80000 | Loss: 2.5546 | LR: 0.024388 | Tokens/s: 31677 | Snapshots: 0
Epoch 1 | Batch  81000 | Loss: 2.5525 | LR: 0.024380 | Tokens/s: 31688 | Snapshots: 0
Epoch 1 | Batch  82000 | Loss: 2.5497 | LR: 0.024372 | Tokens/s: 31702 | Snapshots: 0
Epoch 1 | Batch  83000 | Loss: 2.5475 | LR: 0.024365 | Tokens/s: 31722 | Snapshots: 0
Epoch 1 | Batch  84000 | Loss: 2.5452 | LR: 0.024357 | Tokens/s: 31742 | Snapshots: 0
Epoch 1 | Batch  85000 | Loss: 2.5432 | LR: 0.024349 | Tokens/s: 31757 | Snapshots: 0
Epoch 1 | Batch  86000 | Loss: 2.5407 | LR: 0.024342 | Tokens/s: 31777 | Snapshots: 0
Epoch 1 | Batch  87000 | Loss: 2.5387 | LR: 0.024334 | Tokens/s: 31797 | Snapshots: 0
Epoch 1 | Batch  88000 | Loss: 2.5367 | LR: 0.024326 | Tokens/s: 31817 | Snapshots: 0
Epoch 1 | Batch  89000 | Loss: 2.5346 | LR: 0.024319 | Tokens/s: 31833 | Snapshots: 0
Epoch 1 | Batch  90000 | Loss: 2.5321 | LR: 0.024311 | Tokens/s: 31845 | Snapshots: 0
